EventNumber, Distance, COUNTER, INTERPOLATED, F3, FC5, AF3, F7, T7, P7, O1, O2, P8, T8, F8, AF4, FC6, F4, GYROX, GYROY
0, 103093144.0, 29, 4, 7629.10257126, 6953.46154416, 6243.33333758, 7077.17949316, 4474.87179536, 2297.17948301, 8286.79488035, 5736.02564416, 1293.97435272, 17.43588848, 1429.99999403, 4429.10256445, 1137.56409597, 5351.53846390, 78, 89
0, 103095832.0, 65, 22, 7075.00000598, 2898.71794587, 6167.69231173, 133.20511952, 6584.74359468, 2912.56409972, 1433.07691710, 2202.43589313, 7302.56410903, 7432.82051956, 815.89742861, 7719.35898173, 3674.99999875, 7810.51282802, 193, 193
0, 103101208.0, 44, 165, 529.10255625, 4483.33333382, 7951.15385401, 7105.76923682, 3052.69230519, 6677.30769745, 1654.61537913, 994.10255723, 2228.84614954, 5220.00000209, 5975.64102933, 5961.02564464, 7580.51282753, 4820.00000119, 232, 235
0, 103103704.0, 27, 35, 7861.28205893, 3425.51281878, 2453.58973977, 3515.64102412, 1481.41025058, 1856.53845647, 1472.17948128, 3114.99999757, 4116.28205101, 716.41024891, 4742.56410361, 3234.87179272, 3563.46153701, 7568.33334036, 26, 181
0, 103106296.0, 190, 197, 1537.30768654, 3749.61538358, 1297.30768606, 625.64101800, 8096.53846967, 7635.89744306, 671.92306935, 220.76922223, 4406.15384651, 4197.43589730, 4888.84615517, 7792.94872546, 4541.28205191, 7834.10257168, 241, 85
0, 103108984.0, 233, 63, 3605.38461400, 7530.64103259, 1209.10255764, 6235.25641443, 4640.89743674, 7405.25641693, 3945.25640963, 5892.43590091, 648.33332569, 1586.15384053, 5691.41025947, 3474.23076757, 83.71793990, 3590.12820374, 204, 54
0, 103111672.0, 25, 113, 8047.69231576, 4503.84615441, 908.20512112, 2546.79486819, 2061.41025176, 3451.92307526, 1702.56409715, 2088.33332875, 6162.82051685, 7062.43590342, 5653.33333633, 2454.35897054, 6837.56410806, 7589.23077632, 98, 129
0, 103116856.0, 213, 0, 1659.99999451, 1749.99999472, 157.30768363, 242.94870948, 6802.17949260, 7436.92308367, 6725.64103086, 3193.07692086, 1649.48717400, 6726.02564624, 6893.46154409, 1808.71794358, 1154.48717296, 957.69230075, 248, 220
0, 103119544.0, 56, 142, 2185.51281614, 4183.71794858, 6065.12820895, 937.56409555, 3582.56410118, 1530.76922501, 7110.76923682, 1742.56409729, 7069.61539060, 6291.41026072, 693.84614635, 4718.33333431, 4732.69230874, 5006.79487340, 69, 209
0, 103124824.0, 118, 231, 5355.12820749, 646.15383851, 1654.74358426, 1611.15384060, 5321.28205358, 5498.20513085, 7464.87180169, 7654.35898159, 4513.97435953, 1929.87178994, 5398.46154090, 3612.30769099, 2552.30768870, 547.30768446, 37, 201
0, 103127512.0, 237, 177, 3062.82051032, 6367.17949170, 1521.15384039, 5963.20513182, 2977.56409986, 5285.89743812, 5007.69230929, 3035.25640769, 1374.61537850, 4405.89743625, 3227.05127990, 7594.23077632, 5297.82051505, 7697.56410986, 236, 37
0, 103130200.0, 197, 51, 1147.43589084, 7905.00000772, 1888.20512321, 3499.99999841, 3274.87179279, 1069.23076249, 2805.12820207, 6381.92308144, 308.58973526, 6706.41026163, 1162.43589091, 6670.51282566, 3108.71794629, 6941.41026211, 201, 24
0, 103132792.0, 43, 19, 2098.33332875, 2558.33332972, 1165.12819860, 2812.82050977, 3379.87179300, 4258.84615385, 3889.99999924, 5021.41025801, 5067.30769405, 5336.41025871, 5372.43589980, 3174.35897207, 1458.46153256, 6386.53846606, 69, 228
0, 103135384.0, 69, 31, 7453.71795553, 4441.41025683, 7685.25641756, 2666.53845821, 6959.35898013, 6495.38462011, 7605.64103273, 6543.07692794, 864.10255695, 5201.28205330, 5426.66666917, 3998.71794817, 2951.02563825, 1774.35896915, 173, 213
0, 103140664.0, 165, 217, 8305.12821375, 6366.02564548, 2366.28204733, 8276.28205983, 4178.33333320, 3620.89743458, 3970.12820451, 1349.99999389, 944.10255709, 7433.20513495, 6288.33333765, 7684.74359704, 3932.94871726, 4327.82051296, 3, 95
0, 103143256.0, 85, 124, 8174.61539296, 5429.61538712, 3062.82051032, 1376.53845543, 5661.92307991, 816.79486450, 298.97435064, 8143.84616212, 602.30768460, 1750.64102036, 7015.76923661, 4147.17948697, 5886.79487527, 4072.82051248, 89, 224
0, 103145752.0, 242, 50, 4076.53846119, 2442.30768849, 5592.69231055, 7883.97436669, 1522.94871219, 3247.69230554, 4339.10256431, 6833.46154395, 4613.07692385, 8385.38462414, 2041.53845689, 7639.74359690, 5195.00000202, 6893.71795435, 171, 161
0, 103151128.0, 152, 220, 7875.64103329, 5652.69231068, 4250.76923077, 335.25640199, 3564.74358829, 3362.82051095, 5401.79487423, 3551.41025495, 3315.12820319, 61.41024752, 699.48717199, 4765.51282163, 369.23076104, 8253.33334181, 28, 85
0, 103153912.0, 44, 61, 2416.02563714, 1701.92307151, 4959.35897589, 254.87178640, 880.12819797, 1695.25640484, 880.51281336, 7701.79487909, 5406.02564346, 4472.56410305, 4463.84615434, 7075.76923675, 6586.15385109, 2307.43589334, 205, 61
0, 103159096.0, 113, 18, 6773.20513356, 6685.76923592, 4678.07692398, 885.25640310, 5082.56410431, 2627.94871455, 8018.33334133, 7865.25641790, 2809.23076618, 747.82050539, 7572.69231471, 5285.64102787, 3030.12820256, 2902.05127921, 181, 196
0, 103161688.0, 79, 254, 5083.33333507, 7255.89744229, 7604.10257119, 6574.23077417, 4189.87179474, 4998.71795032, 240.38460691, 6686.02564617, 3223.58974144, 5112.05128386, 6303.33333771, 1606.92307130, 6217.82051699, 4259.23076923, 168, 204
0, 103164280.0, 91, 87, 7060.00000598, 8302.17949573, 6265.64102988, 2773.20512508, 7075.89744188, 3083.58974109, 1858.20512314, 6632.17949226, 2047.17948253, 6386.41026093, 5166.41025836, 4423.20512856, 1790.89743069, 497.17947926, 133, 155
0, 103166872.0, 85, 188, 7648.46154569, 4889.61538594, 6367.43590196, 2690.38461205, 2536.66666306, 7710.25641756, 4391.92307720, 1339.99999382, 5309.61538684, 879.74358259, 3684.23076805, 5402.30769474, 6527.05128685, 2141.28204684, 246, 96
0, 103172152.0, 162, 43, 6048.97436280, 330.38460712, 5221.92307901, 1687.94871253, 820.89742867, 6899.48718512, 5625.38461831, 6552.05128692, 1443.58973762, 4527.56410312, 1630.25640470, 3367.69230582, 7205.00000626, 4212.94871788, 98, 151
0, 103174840.0, 222, 139, 7025.25641617, 4877.94871927, 5509.23077188, 8182.30770065, 1196.53845508, 210.76922223, 6501.92308172, 2595.25640679, 4458.46153888, 3650.38461414, 6977.17949295, 1020.38460858, 7127.69231381, 5452.43590001, 184, 91
0, 103177432.0, 76, 14, 846.92306970, 1177.17948065, 554.10255625, 2714.61538135, 2039.87179022, 2811.28204823, 4012.30769183, 7488.71795560, 6831.41026190, 1528.84614808, 4125.38461511, 8114.35898256, 7581.66667376, 2155.76922633, 120, 226
0, 103180024.0, 7, 15, 2722.30768905, 252.30768383, 1647.82050733, 3240.12820298, 4506.53846210, 5539.87179759, 909.99999292, 7546.28205823, 6014.74359350, 3326.92307498, 7855.00000765, 6783.20513356, 6103.84615774, 4091.92307658, 232, 253
0, 103182616.0, 44, 195, 559.87178709, 2462.43589369, 11.15383719, 1486.28204545, 5593.58974644, 1445.12819923, 1309.23076298, 6920.64103127, 7891.15385387, 5272.05128421, 2260.76922653, 5782.30769558, 3948.20512758, 5178.97436092, 18, 50
0, 103187800.0, 203, 1, 4147.30769210, 5728.84615698, 5489.23077188, 7157.30769850, 7044.35898027, 565.76922299, 6611.66667167, 1220.12819874, 2063.84614919, 7863.71795637, 129.74358099, 7031.02564694, 4419.48717984, 6005.89743958, 250, 245
0, 103190488.0, 56, 69, 4259.23076923, 3499.10256251, 2778.84615072, 3576.53846008, 964.87178793, 8070.25641832, 7011.28205712, 4998.58974519, 5447.69231020, 5859.87179828, 2758.20512508, 6850.51282601, 579.74358196, 5169.35897631, 124, 92
0, 103195768.0, 199, 215, 5003.84615545, 3878.07692232, 7909.35898208, 7909.48718720, 2122.82050831, 8252.43590592, 1732.30768696, 2861.66666375, 4886.66666799, 7960.12821298, 1817.43589230, 2245.76922653, 7089.74359579, 7493.33334022, 186, 169
0, 103198360.0, 154, 89, 4975.64102717, 8279.10257265, 7766.53846898, 4052.05128164, 3084.87179237, 7235.51282684, 6833.84615934, 1986.28204649, 5882.56410604, 3089.99999757, 2244.74358551, 5996.79487548, 3474.87179321, 3.97435001, 126, 114
0, 103201336.0, 108, 3, 4977.30769384, 3436.53845981, 5062.17948892, 1940.51281565, 1182.17948072, 860.51281336, 7778.20513564, 1161.28204475, 1971.79486700, 2318.20512411, 2569.87179133, 6795.64103106, 5142.17948906, 1427.56409659, 255, 169
0, 103204024.0, 29, 139, 7272.82051922, 1948.20512334, 7177.17949337, 1949.10255924, 1497.82050699, 5201.28205330, 799.87178758, 4733.20512925, 5899.48718297, 3060.12820263, 2670.38461205, 7029.35898027, 3214.35897214, 3021.53845897, 58, 243
0, 103206616.0, 240, 156, 7943.46154632, 3873.33333257, 200.51281197, 8306.28205990, 4522.17948774, 5199.87179689, 6621.53846655, 2877.94871503, 7494.23077611, 3655.51281927, 2735.51281732, 5839.10256744, 8094.74359788, 1320.64101946, 242, 112
0, 103209208.0, 207, 17, 561.53845376, 8298.46154701, 3222.17948503, 7731.28205865, 4075.12820478, 616.15383844, 2068.33332875, 2580.64102210, 5607.82051567, 4752.56410361, 3852.43589661, 4337.43589765, 2898.20512536, 858.97435182, 54, 208
0, 103214488.0, 141, 120, 3990.51281996, 7077.43590342, 5637.94872087, 5065.76923251, 7903.33334105, 6384.61538914, 7241.66667299, 6224.74359392, 8388.07693184, 1164.74358322, 782.69230033, 2697.05127879, 1768.71794344, 5321.79487409, 195, 125
0, 103217464.0, 254, 67, 3890.25640950, 6861.92308249, 194.74358113, 3375.89743403, 7550.12821215, 6363.07692753, 1289.99999375, 1073.33332660, 2359.61538059, 2738.71794553, 2547.43589383, 6233.46154263, 7065.51282649, 7423.71795546, 248, 147
0, 103220536.0, 25, 251, 116.66665792, 6254.74359399, 6422.05128664, 3922.94871726, 2446.41025259, 3336.66666472, 3395.76922897, 1514.87178911, 167.17947857, 561.28204350, 1014.10255723, 73.84614503, 5675.38461838, 4077.82051248, 2, 5
0, 103223224.0, 97, 57, 1784.48717428, 2930.38461261, 5260.76923293, 7789.23077674, 2616.15384268, 2274.35897019, 1528.97435321, 1716.02563568, 642.94871031, 6555.38462025, 424.74358162, 1911.28204635, 2548.20512460, 119.48717074, 195, 153
0, 103228504.0, 184, 63, 795.51281322, 4901.53846293, 359.99999173, 3777.69230672, 574.48717171, 2292.05127789, 6521.53846634, 3990.38461483, 252.82050435, 7392.69231437, 146.66665798, 6432.43590203, 2603.71794525, 3226.15384400, 251, 122
0, 103231288.0, 121, 149, 184.74358113, 4165.76923056, 2332.30768828, 897.43589035, 4385.12820541, 5284.87179710, 3322.17948524, 558.07691530, 7982.56411049, 2131.66666215, 785.25640289, 4605.25641102, 2353.58973956, 3451.02563936, 53, 205
0, 103233880.0, 102, 174, 8096.41026454, 3463.97435731, 268.84614544, 1763.58973831, 1862.69230262, 2128.46153395, 7670.76923800, 2400.51281663, 5531.92307964, 5107.05128386, 7195.64103190, 2155.38461094, 1215.25640387, 2037.43589278, 64, 178
0, 103239256.0, 45, 146, 338.97435071, 449.10255605, 1667.43589195, 5321.41025871, 6237.69231193, 1265.25640394, 4213.97435891, 6965.76923654, 7025.64103155, 4362.43589765, 6599.35897937, 2892.17948433, 5555.89743868, 917.69230061, 123, 213
0, 103241944.0, 139, 54, 4176.41025628, 5607.05128490, 5677.30769530, 5948.97436259, 6605.12821014, 856.66665951, 2879.99999709, 8378.97436773, 7490.64103252, 644.48717185, 854.87178772, 655.89742826, 1919.74358481, 2971.92307422, 58, 183
0, 103244632.0, 71, 116, 4142.05128185, 8163.46154673, 7734.74359711, 6530.38462018, 564.23076145, 3210.51281829, 3396.02563922, 6509.48718429, 2541.53845793, 8111.79488000, 5830.89743924, 4103.97435870, 2523.71794504, 1919.23076430, 26, 181
0, 103247320.0, 183, 225, 8199.61539296, 6141.92308096, 5576.92307971, 3854.61538379, 377.43588924, 3383.71794692, 3767.94871691, 4569.35897506, 1584.74358412, 4790.89743701, 5252.05128421, 6776.28205664, 1515.12819936, 7769.87180231, 237, 96
0, 103249912.0, 82, 37, 7586.53846863, 465.12819714, 4894.35897575, 1194.48717303, 3715.38461428, 32.05127309, 2506.92307324, 1010.25640338, 3737.94871684, 5778.71795199, 2527.69230408, 6652.43590251, 6196.66667077, 7248.58974992, 31, 168
0, 103252696.0, 122, 84, 6968.84615962, 6950.89744160, 3184.35897214, 1997.69230290, 2631.79486839, 4908.84615524, 4504.87179543, 4521.02564159, 7837.69231527, 705.25640276, 4692.56410347, 2722.43589417, 2498.97435530, 3679.23076805, 100, 120
0, 103258072.0, 118, 187, 3343.97435703, 5755.51282371, 1964.99999514, 781.02563366, 3482.30769071, 2544.99999639, 4084.99999966, 1568.71794302, 2970.89743319, 3716.79487069, 5680.12820819, 8292.17949573, 3816.79487090, 4014.23076875, 33, 75
0, 103260664.0, 160, 111, 4055.89743548, 4159.48717928, 5323.20513050, 3231.15384400, 4522.30769287, 1752.56409729, 2402.30768842, 4417.94871830, 6681.15385130, 7086.41026239, 2528.71794511, 1746.92307165, 6541.41026128, 3445.38461365, 68, 200
0, 103263448.0, 88, 104, 2943.20512543, 4473.71794921, 5519.61538733, 1123.07691648, 6404.35897895, 5989.35897805, 4226.66666660, 6381.02564555, 2258.07691884, 7799.61539212, 742.56409513, 5661.28205427, 5421.15384866, 456.02563297, 111, 219
0, 103266136.0, 138, 27, 861.53845439, 2160.89743145, 3499.61538302, 7073.71795470, 5006.66666827, 6698.84615906, 4118.84615357, 6132.43590140, 2551.28204767, 2266.92307276, 2210.51281621, 4061.02564061, 7385.76923744, 5884.23077271, 142, 223
0, 103271512.0, 254, 202, 1050.51281378, 6415.12820972, 4554.10256473, 4979.61538615, 6639.61538969, 1964.23076437, 3797.69230672, 2637.69230429, 3949.87179425, 6485.89744063, 3171.66666438, 1078.07691634, 8252.56411105, 8166.53846981, 0, 141
0, 103274200.0, 222, 95, 8153.07693135, 6003.46154215, 351.66665840, 7537.30769926, 7750.51282795, 3697.17948600, 3838.58974269, 5639.10256702, 1575.38460976, 2422.17948329, 5082.30769405, 5875.25641373, 4948.84615531, 8389.48718825, 68, 126
0, 103276888.0, 211, 61, 6121.02564499, 571.92306914, 2486.92307317, 7405.64103232, 6381.92308144, 6036.02564478, 8331.41026503, 2844.99999702, 3127.82051046, 5391.92307936, 1457.17948128, 1200.64101918, 5775.00000320, 5503.33333598, 208, 11
0, 103279480.0, 240, 167, 7120.00000605, 6026.92308068, 4044.10256369, 2295.25640609, 7425.51282726, 3625.64102432, 392.05127386, 6.41024745, 3225.89743375, 4495.25641075, 2959.35897165, 2907.56409972, 6309.10256848, 6297.82051713, 19, 90
0, 103282168.0, 34, 80, 5824.87179821, 6449.87179953, 1465.89742999, 6333.71795310, 3064.87179237, 231.66665819, 5390.51282295, 3127.82051046, 3902.05128129, 3346.92307498, 6941.02564673, 6936.66667237, 201.15383761, 4552.82051345, 47, 249
0, 103287448.0, 233, 169, 6782.43590279, 7293.58975006, 5509.48718213, 3960.38461476, 2190.76922640, 2291.53845737, 3355.64102377, 126.41024766, 2520.12820145, 5110.00000181, 8350.38462407, 4679.61538552, 7225.00000633, 4287.43589751, 190, 82
0, 103290136.0, 125, 26, 1694.61537920, 347.43588917, 1810.51281537, 4969.23077076, 589.99999222, 4016.41025593, 6584.35897930, 6901.02564666, 5099.87179668, 5217.82051484, 3405.12820333, 822.94871073, 396.53845341, 5699.87179793, 59, 241
0, 103292824.0, 92, 251, 6370.38461991, 6836.28205678, 5845.25641367, 4321.41025655, 5772.94872115, 1334.87178869, 4984.74359128, 7997.43590536, 7433.58975033, 5752.43590064, 1479.35896853, 3787.69230672, 4930.25641172, 7153.71795484, 175, 250
0, 103295512.0, 220, 7, 3432.94871622, 2044.23076458, 322.56409423, 4939.23077069, 3883.07692232, 3638.58974227, 3835.25640936, 856.92306977, 4077.56410222, 5263.58974575, 2698.46153520, 6083.33333723, 7054.23077514, 4753.33333438, 131, 242
0, 103300888.0, 224, 21, 6407.69231228, 1964.10255924, 1624.35896880, 7610.51282760, 5722.56410569, 4406.41025676, 4974.87179640, 7960.25641811, 2171.41025204, 2106.66666215, 4575.25641096, 4828.33333459, 6835.12821062, 1757.56409729, 175, 31
0, 103303480.0, 138, 15, 2241.92307269, 7771.53846898, 3720.25640915, 2440.38461157, 4267.43589751, 1705.12819971, 8193.20513655, 5431.15384866, 6221.02564520, 5448.71795129, 3156.66666438, 6666.28205643, 1140.25640366, 924.87178786, 71, 107
0, 103306264.0, 186, 201, 3681.79487062, 7143.33333945, 742.56409513, 5837.82051616, 3075.38461289, 6414.87179946, 4899.35897575, 158.97435029, 6133.33333730, 3162.30769002, 4884.87179620, 8129.61539282, 2379.23076527, 1122.05127545, 179, 72
0, 103308856.0, 65, 48, 4081.66666632, 5137.05128393, 1198.84614739, 491.41024842, 3100.12820270, 8019.48718748, 6086.79487569, 7678.84616108, 4844.35897561, 7962.17949504, 812.17947989, 1149.99999347, 4101.79487145, 5755.25641346, 230, 180
0, 103311544.0, 248, 30, 6549.35897923, 1721.15384081, 1588.07691745, 3702.43589626, 5828.46154180, 275.64101724, 136.41024773, 6006.66667042, 1633.97435342, 5190.64102766, 2346.28204726, 3837.43589654, 8268.71795720, 8109.87180308, 121, 178
0, 103314232.0, 195, 244, 2858.97435606, 4361.92307714, 8097.05129019, 1307.05127580, 2531.66666306, 520.25640234, 2574.74358620, 294.61537621, 2484.87179112, 1644.10255862, 2022.82050810, 6593.58974853, 6207.94872212, 8151.02564930, 116, 84
0, 103317016.0, 194, 185, 8252.43590592, 7601.79487889, 1014.10255723, 1238.97435259, 4821.53846272, 2157.69230325, 5048.97436065, 370.38460719, 6222.69231187, 6079.87179877, 3618.58974227, 3961.41025579, 7589.48718658, 4481.92307741, 129, 113
0, 103322296.0, 156, 92, 6841.53846703, 4721.28205226, 1873.46153346, 8327.43590606, 1834.48717435, 4386.92307720, 7030.89744181, 5502.30769495, 4559.48718012, 4569.10256480, 829.61537739, 7036.92308283, 1809.23076409, 3991.02564047, 17, 21
0, 103324888.0, 27, 157, 6666.41026156, 8121.92308513, 5972.82051644, 3275.76922869, 196.41024780, 762.56409520, 3883.33333257, 892.69230061, 6762.17949253, 6005.64102933, 1723.33332799, 6545.00000487, 4339.87179508, 5186.79487381, 77, 240
0, 103327672.0, 79, 20, 5820.76923411, 3061.92307443, 7641.15385331, 4040.64102523, 3870.64102481, 5784.74359301, 4401.41025676, 8058.84616191, 4579.48718019, 2471.28204753, 5339.10256640, 4441.92307734, 5710.89743903, 7143.71795484, 172, 188
0, 103330264.0, 176, 124, 5211.15384817, 5243.33333542, 6208.97436315, 8036.28205928, 5332.56410486, 7567.17949420, 7457.56410938, 374.61537642, 716.02563352, 6222.17949135, 6722.94872316, 4654.74359058, 5302.30769454, 6683.97436412, 36, 169
0, 103335544.0, 121, 38, 29.87178591, 4728.58974464, 903.84614676, 6609.74359475, 6350.12820958, 8380.12821389, 7661.66667390, 915.38460830, 2359.99999597, 3924.23076854, 5912.05128560, 2130.51281600, 6873.46154402, 463.71794073, 106, 100
0, 103338328.0, 76, 151, 4137.05128185, 4009.23076875, 4122.05128178, 513.33332542, 7495.51282740, 7105.00000605, 4694.87179585, 1911.79486687, 5480.51282309, 1495.64101981, 3593.33333195, 7186.41026260, 6472.30769704, 2585.89743236, 234, 104
0, 103340920.0, 41, 200, 4057.30769189, 5399.23077167, 5198.33333535, 5961.41026003, 8335.51282913, 2002.56409784, 8342.05129074, 5374.74359211, 1605.89743027, 486.79486381, 1633.46153291, 6654.48718456, 5041.15384783, 7824.23077681, 80, 74
0, 103343704.0, 30, 105, 8319.48718811, 3906.79487110, 4520.12820569, 4457.30769273, 6514.61538941, 4777.82051394, 4048.33333292, 927.30768529, 2844.35897137, 7804.23077674, 6373.07692760, 3852.94871712, 5104.87179668, 6455.76923543, 149, 155
0, 103346296.0, 214, 79, 4708.20512918, 1332.56409638, 1034.10255730, 3148.71794636, 2717.05127879, 1232.43589105, 4515.12820569, 6604.35897937, 6382.43590196, 1316.92307074, 2474.23076548, 1975.12820034, 7078.46154444, 2137.56409812, 118, 4
0, 103351672.0, 230, 94, 7958.33334119, 398.20512008, 326.28204295, 1899.99999500, 1355.64101953, 3794.35897339, 2280.38461122, 6916.15385179, 1653.97435349, 2856.66666375, 2856.15384324, 2598.58974012, 3333.33333139, 7917.69231548, 254, 12
0, 103354264.0, 40, 142, 8171.41026468, 479.48717150, 3931.53846085, 594.87178716, 3606.28204990, 7028.84615976, 261.92306845, 6422.05128664, 557.82050497, 3119.74358738, 3255.64102356, 3519.61538309, 2545.64102203, 2168.71794434, 148, 202
0, 103359640.0, 183, 212, 7302.30769877, 4646.53846238, 7777.82052026, 5668.84615684, 5128.33333521, 656.15383851, 3701.66666549, 704.87178737, 4354.74358996, 7130.51282663, 7120.38462143, 1980.76922598, 2628.84615045, 84.35896554, 83, 211
0, 103362328.0, 152, 118, 5011.53846314, 3442.94871622, 2551.66666306, 8140.76923904, 4476.79487229, 2051.41025176, 6474.48718422, 993.20512133, 2371.02563707, 1241.15383976, 4383.33333362, 1983.46153367, 5479.87179745, 3338.97435703, 168, 5
0, 103365016.0, 14, 195, 8252.69231617, 6456.53846620, 4978.58974512, 5623.20513113, 5323.46154076, 4603.58974436, 4813.33333452, 4211.28205122, 4323.97435912, 1617.82050727, 3483.07692148, 6797.56410799, 625.64101800, 8061.15385422, 133, 145
0, 103367608.0, 247, 82, 1265.76922445, 4214.10256404, 3897.69230693, 6171.53846564, 466.92306894, 4650.00000084, 1034.10255730, 1376.53845543, 1269.99999368, 662.17947961, 2602.82050935, 7910.51282830, 1602.94871232, 1212.82050636, 186, 185
0, 103372888.0, 187, 195, 3634.99999868, 2451.53845772, 5250.12820722, 2591.15384261, 5855.00000341, 363.84614565, 2034.99999535, 8378.97436773, 5565.12820791, 5407.30769474, 7254.48718588, 4556.41025704, 1257.43589112, 2298.84614975, 203, 9
0, 103372888.0, 28, 152, 8109.61539282, 7250.64103197, 983.84614690, 7200.51282677, 2026.02563630, 5059.87179661, 7294.74359621, 5865.12820854, 5719.61538775, 1274.74358342, 2811.66666361, 1303.07691683, 6125.51282448, 1347.69230158, 28, 216
0, 103378264.0, 187, 82, 4553.46153909, 3529.10256258, 4537.43589807, 3456.92307526, 5714.48718262, 1606.79486617, 2674.87179154, 2706.53845828, 8167.69231597, 6926.66667237, 1469.87178897, 267.94870954, 1187.17948072, 7213.07692933, 11, 197
0, 103381048.0, 168, 125, 5229.74359183, 2141.15384171, 1772.82050761, 5264.87179703, 3919.74358905, 6875.76923633, 1631.92307137, 4200.89743576, 1632.43589188, 710.25640276, 4525.25641082, 5252.82051498, 3246.53845939, 3678.07692190, 238, 215
0, 103383640.0, 105, 249, 4870.25641158, 5878.33333681, 3667.94871670, 3454.35897270, 7445.76923751, 2899.61538177, 1044.99999319, 6798.58974901, 8095.89744403, 1986.92307213, 3532.82051130, 6736.79487708, 5518.33333605, 5292.43589966, 117, 101
0, 103389016.0, 191, 150, 36.28204239, 4844.61538587, 7440.00000674, 5313.84615607, 3791.66666570, 4903.46153986, 1385.25640421, 5432.30769481, 4713.58974457, 3369.61538274, 3480.76922917, 3235.25640811, 8301.41026496, 3132.17948482, 118, 54
0, 103391792.0, 190, 142, 3742.82051178, 6625.64103065, 5226.53846363, 5779.87179814, 7185.38462157, 7594.74359684, 5831.28205462, 8205.12821354, 8093.07693121, 3425.89743416, 3257.17948510, 6600.38462039, 983.20512126, 3034.48717692, 61, 56
0, 103394480.0, 40, 169, 2851.92307394, 2527.05127837, 5874.10256751, 5592.05128490, 1322.82050664, 2710.38461212, 4961.53846307, 4836.66666792, 7583.33334042, 451.53845348, 4787.05128317, 5691.28205434, 4607.82051359, 6786.66667202, 176, 190
0, 103397168.0, 193, 120, 4981.02564256, 5432.43589994, 110.51281176, 8242.69231617, 1924.35896943, 4162.43589723, 2603.07691961, 5575.38461817, 7920.64103343, 816.53845425, 230.89742742, 7266.66667306, 7538.71795567, 8172.82052116, 227, 32
0, 103402544.0, 147, 173, 636.28204364, 4634.61538545, 1055.25640352, 220.76922223, 6919.61539025, 7102.94872400, 4487.56410305, 1515.12819936, 3679.48717831, 7056.02564694, 5185.00000195, 1014.35896748, 7403.58975026, 7614.61539178, 185, 223
